customer_id,age,gender,annual_income,education_level,city,registration_date,total_purchases,total_spent,favorite_category,satisfaction_score,email_domain,phone_number,credit_score,premium_member,last_review
CUST_00001,40.0,F,39014.42,PhD,Houston,2021-08-17,6,507.58381617871675,Automotive,6,yahoo.com,8803569270,850.0,True,Outstanding customer service experience.
CUST_00002,33.0,F,14113.47,Bachelor's Degree,Chicago,2021-02-21,7,62.25954085604543,Fashion,8,work.net,912-220-7232,699.0,False,Excellent service and fast delivery.
CUST_00003,42.0,M,32209.27,Master's Degree,City_27,2022-07-18,10,112.3338976357269,Home & Garden,4,outlook.com,4048612358,565.0,False,Good value for money.
CUST_00004,53.0,female,9823.8,High School,City_18,2022-05-17,12,553.9549277750183,Home & Garden,5,yahoo.com,560.505.7389,839.0,True,Not satisfied with the quality.
CUST_00005,32.0,male,82285.71,Associate Degree,Dallas,2022-04-03,9,103.84139953066015,Automotive,4,work.net,(629) 751-9947,768.0,True,"Product arrived damaged, disappointed. Needs improvement."
CUST_00006,32.0,M,6319.73,Master's Degree,City_5,2021-10-13,9,223.94399024894471,Fashion,10,business.org,(817) 425-8999,658.0,True,"Could be better, but acceptable."
CUST_00007,53.0,M,71963.93,Some College,San Antonio,2021-07-29,6,853.3749336528658,Books,6,business.org,2942408767,645.0,False,Excellent service and fast delivery. Would shop here again.
CUST_00008,44.0,Male,79501.31,High School,San Jose,2021-06-28,2,449.94467182568366,Fashion,6,corp.com,3871901278,773.0,False,"Product arrived damaged, disappointed."
CUST_00009,29.0,M,104298.44,Master's Degree,City_1,2023-05-15,5,79.70113903924548,Sports,1,company.com,229.598.6507,700.0,True,"Product arrived damaged, disappointed."
CUST_00010,41.0,Male,38928.71,Master's Degree,San Diego,2021-03-07,8,595.9212378812794,Home & Garden,4,work.net,884.895.7624,565.0,False,"Great product, highly recommend!"
CUST_00011,150.0,Female,75606.9,Bachelor's Degree,City_41,2021-03-03,8,501.4405953864485,Books,6,gmail.com,(941) 369-8657,850.0,True,
CUST_00012,29.0,Other,31958.79,Bachelor's Degree,New York,2021-07-11,9,407.9239891846697,Sports,3,business.org,330-837-9751,685.0,False,
CUST_00013,37.0,Female,14053.72,High School,City_29,2022-03-24,6,438.2304066277982,Automotive,7,work.net,(227) 603-1444,839.0,False,Good value for money. Would shop here again.
CUST_00014,18.0,Female,,Master's Degree,Chicago,2022-04-22,9,128.0089309781376,Gaming,7,hotmail.com,285-858-8022,822.0,False,"Fast shipping, product as described."
